,time,topic,truth_value
0,1741468642.1914632,Travel,lie
0,1741468654.807929,Family,lie
0,1741468664.2075934,Movies,fact
0,1741468677.7163928,Family,lie
0,1741468687.8020809,Travel,fact
0,1741468699.4009104,Work,lie
0,1741468711.460751,Success,fact
0,1741468724.9042099,Travel,lie
0,1741468735.5625472,Future Goals/Dreams,lie
0,1741468751.8969052,Success,fact
0,1741468768.3461254,Food,lie
0,1741468780.235712,Travel,fact
0,1741468792.157272,Family,lie
0,1741468804.8559632,Education,fact
0,1741468821.8908718,Success,lie
0,1741468839.3473585,Work,fact
