,time,topic,truth_value
0,1741037589.592052,Work,lie
0,1741037600.179295,Pets,lie
0,1741037613.0366452,Food,lie
0,1741037625.7042816,Future Goals/Dreams,fact
0,1741037646.0492482,Education,lie
0,1741037658.025697,Travel,fact
0,1741037670.8975923,Work,lie
0,1741037683.5387328,Music,lie
0,1741037693.389782,Success,fact
0,1741037705.7904983,Music,fact
0,1741037716.9918911,Success,fact
0,1741037728.4612968,Music,fact
0,1741037736.8055544,Food,lie
0,1741037753.6453025,Hobbies,fact
0,1741037763.2355256,Hobbies,lie
0,1741037774.1559157,Education,fact
