,time,topic,truth_value
0,1741471950.6275032,Things you learn in class,lie
0,1741471967.002336,Cognitive Science,fact
0,1741471984.2008011,Your job,fact
0,1741471997.3573556,Dinosaurs,fact
0,1741472012.8592377,Cognitive Science,lie
0,1741472025.181001,Math,fact
0,1741472043.3731682,Cognitive Science,fact
0,1741472060.0217288,Dinosaurs,fact
0,1741472072.1680892,Your job,lie
0,1741472084.854691,Fungi/Plants,lie
0,1741472094.9782848,Dinosaurs,fact
0,1741472107.9810736,Colors,lie
0,1741472124.5293646,Animals,fact
0,1741472135.3362699,Things you learn in class,fact
0,1741472154.8928041,Cognitive Science,fact
